1|Miscellaneous|Aside from an extra 385 yards, how many miles is a marathon race?|26|twenty-six
3|Miscellaneous|If 27 solid cubes are formed into one big 3x3x3 cube how many individual cubes, at most, are visible from any single angle?|19|nineteen
1|Miscellaneous|How many dots are on a (standard 1-6) die?|twenty-one|21
4|Miscellaneous|The Russian 'Crimea Highway' trunk road from Moscow to the Crimea in Ukraine is the M (what)?|2|two
5|Miscellaneous|What number, between two hyphens, is used by journalists, etc., to mark the end of a newspaper or broadcast story?|30|thirty
2|Miscellaneous|How many unique dominoes are in a standard 'double six' set?|twenty-eight|28
1|Miscellaneous|What number turned on its side (rotated 90 degrees) is the symbol for infinity?|8|eight
2|Miscellaneous|The Marvel Comics superhero team led by Mr Fantastic was the Fanstastic (what)?|four|4
1|Miscellaneous|What is the larger number of the binary system?|1|one
2|Miscellaneous|How many dimes are there in an American dollar?|10|ten
2|Miscellaneous|Greek deka, and Latin decem, are what number?|10|ten
4|Miscellaneous|Conventionally how many books are in the Bible's New Testament?|27|twenty-seven
2|Miscellaneous|How many legs (or arms) are most usually on a starfish?|5|five
3|Miscellaneous|A lunar month is an average (how many) days plus 12 hours, 44 minutes and 3 seconds?|29|twenty-nine
2|Miscellaneous|Traditionally what number of years anniversary is symbolized by silver?|25|twenty-five
5|Miscellaneous|What is generally stated to be the number of major joints in the human body?|13|thirteen
3|Miscellaneous|In Greek mythology, Hephaestus was the god of what?|fire
2|Miscellaneous|What is the capital of Greece?|athens|athene
4|Miscellaneous|"What year did Marty McFly go back into in the movie ""Back to the Future""?"|1955
5|Miscellaneous|St. Albans was the start and Bosworth field was the finish of what?|war of the roses
3|Miscellaneous|"The "Oort Cloud" is made up of what?"|comets
5|Miscellaneous|Saffron is derived from the flower of what plant?|crocus sativus|saffron crocus
4|Miscellaneous|When did Greece joined Europe?|2001
2|Miscellaneous|Poseidon is a greek god, who takes his place in Roman mythology?|Neptune
-1|Arts & Literature|"What naval hobbyist produced the landmark book "All the World's Fighting Ships" in 1898?"|Fred T. Jane
-1|Geography|What is the capital of the Canadian province of Manitoba?|Winnipeg
-1|Entertainment|In season 1 of Glass House which eliminated competitor is returned to the game?|Mike
-1|History|What Italian scientist discovered methane and invented the first battery?|Alessandro Volta
-1|Arts & Literature|"What suit is the Queen is "Alice's Adventures in Wonderland"?"|Hearts
-1|Geography|"What German city is home to a statue called "The Town Musicians"?"|Bremen
-1|Entertainment|What show debuted in 1963 and became the longest running sci-fi series?|Doctor Who
-1|History|At what Ohio university were four students shot to death during a 1970 anti-war demonstration?|Kent State
-1|Science & Nature|How long is the giraffe's tongue?|17 inches
-1|Miscellaneous|"What does "PT" stand for in the names of Navy PT boats?"|Patrol Torpedo
-1|Arts & Literature|"What book is divided into 114 chapters called "suras"?"|The Qur'an
-1|Geography|Which US state is home to the Catskill Mountains?|New York
-1|Entertainment|"What does Elwood steal from the gas station in the movie "The Blues Brothers"?"|Wiper blades
-1|History|The Minutemen fought during what war?|American Revolution
-1|Science & Nature|What planet has the shortest year?|Mercury
-1|Miscellaneous|Which French designer was the heir to a fertilizer fortune?|Christian Dior
-1|Arts & Literature|"Which rock group charted "Land of Confusion" in 1986?"|Genesis
-1|Geography|Which state is home to the Pribilof Islands?|Alaska
-1|History|What was the nickname of 1930's public enemy George Kelly?|Machine Gun
-1|Science & Nature|What name is given to the study of volcanoes?|Volcanology
-1|Arts & Literature|"What original literary work was the movie "The Door in the Floor" based on?"|A Widow for One Year
-1|Geography|Trenton is the capital of which US state?|New Jersey
-1|Entertainment|"Who played the male lead in the 2002 movie "The Hot Chick"?"|Rob Schneider
-1|History|What did Elisha Otis first install in a New York City department store in 1857?|Elevator
-1|Science & Nature|What does a herpetologist study?|Reptiles
-1|Miscellaneous|What did Gene Siskel and Roger Ebert do for a living?|They were movie critics
-1|Arts & Literature|"The Stephen Sondheim Broadway musical "Sunday in the Park with George" was based on a painting by what artist?"|Georges Seurat
-1|Geography|Which is the fourth largest US state in surface area?|Montana
-1|Entertainment|What was Gladys Knight's backing band?|The Pips
-1|History|Who was nicknamed The Desert Fox?|Erwin Rommel
-1|Science & Nature|"A "scarlet runner" is a type of what?"|Plant
-1|Miscellaneous|What is the point value of the letter Z in a standard Scrabble game?|10
-1|Arts & Literature|"Which composer of the "Rite of Spring" was still alive to see his music used in Disney's "Fantasia"?"|Igor Stravinsky
-1|Geography|What is the capital of Belgium?|Brussels
-1|History|What pacific atoll was the site of nuclear tests between 1946 and 1958?|The Bikini Atoll
-1|Science & Nature|What does the Scoville scale measure?|Chili pepper hotness
-1|Miscellaneous|Grits are typically made from what grain?|Corn
-1|Arts & Literature|"What classic novel's subtitle is "The Whale"?"|Moby-Dick
-1|Entertainment|"How many Oscar nominations did the 2002 movie "Chicago" receive?"|Thirteen
-1|History|What did the Pony Express transport to California?|Mail
-1|Science & Nature|What are the only two consecutive prime numbers?|2 and 3
-1|Miscellaneous|What baseball team signed a contract with Michael Jordan in 1994?|Chicago White Sox
-1|Arts & Literature|Which superhero team is Reed Richards a member of?|The Fantastic Four
-1|Geography|In what country is the San Andreas Fault located?|United States
-1|Entertainment|"Which professional wrestler starred in the 1988 movie "They Live"?"|""Rowdy" Roddy Piper"
-1|Science & Nature|"What is the proper name of the flower more commonly referred to as "dandelion"?"|Taraxacum
-1|Miscellaneous|What color jersey does the overall leader of the Tour de France wear?|Yellow
-1|Arts & Literature|What was named for Pope Sixtus IV when it was consecrated in a 1483 Mass?|The Sistine Chapel
-1|Geography|Utah's Great Salt Lake is the largest remnant of what enormous prehistoric lake?|Lake Bonneville
-1|Entertainment|"Who made his directorial debut with the 1966 movie "Who's Afraid of Virginia Woolf"?"|Mike Nichols
-1|History|What city was Veronica Guerin killed in?|Dublin
-1|Miscellaneous|Who was sued in 1999 by Rosa Parks after they used her name to title a hit song?|OutKast
-1|Arts & Literature|Who replaces Professor Snape as Potions Master at Hogwarts?|Horace Slughorn
